,Maverick County,Zavala County,Frio County,Atascosa County,Brazoria County,Matagorda County,Calhoun County,Victoria County,Goliad County,DeWitt County,Karnes County,Bee County,Live Oak County,McMullen County,La Salle County,Dimmit County,Refugio County,Aransas County,San Patricio County,Jim Wells County,Duval County,Webb County,Nueces County,Kleberg County,Jim Hogg County,Kenedy County,Brooks County,Zapata County,Cameron County,Willacy County,Starr County,Hidalgo County,Parmer County,Castro County,Shelby County,Cherokee County,Anderson County,Freestone County,Hill County,Bosque County,Hamilton County,Erath County,Comanche County,Brown County,Coleman County,Runnels County,Coke County,Sterling County,Glasscock County,Martin County,Midland County,Ector County,Winkler County,Loving County,Hudspeth County,El Paso County,Sabine County,Nacogdoches County,Houston County,Limestone County,McLennan County,Coryell County,Mills County,Tom Green County,Ward County,Culberson County,San Augustine County,Angelina County,Leon County,McCulloch County,Concho County,Irion County,Reagan County,Upton County,Crane County,Reeves County,Jasper County,Trinity County,Robertson County,Falls County,Bell County,Lampasas County,San Saba County,Pecos County,Tyler County,Polk County,Walker County,Madison County,Milam County,Williamson County,Llano County,Mason County,Menard County,Schleicher County,Crockett County,Jeff Davis County,San Jacinto County,Grimes County,Brazos County,Burnet County,Kimble County,Sutton County,Brewster County,Hardin County,Liberty County,Montgomery County,Burleson County,Lee County,Bastrop County,Travis County,Gillespie County,Terrell County,Presidio County,Orange County,Waller County,Washington County,Hays County,Blanco County,Kerr County,Edwards County,Jefferson County,Harris County,Austin County,Colorado County,Fayette County,Caldwell County,Comal County,Kendall County,Real County,Val Verde County,Chambers County,Fort Bend County,Gonzales County,Guadalupe County,Bexar County,Bandera County,Kinney County,Galveston County,Wharton County,Lavaca County,Wilson County,Medina County,Uvalde County,Jackson County,Stephens County,Hardeman County,Childress County,Hall County,Briscoe County,Swisher County,Wichita County,Wilbarger County,Cottle County,Motley County,Floyd County,Hale County,Lamb County,Bailey County,Lamar County,Fannin County,Grayson County,Montague County,Clay County,Foard County,Hockley County,Cochran County,Red River County,Cooke County,Archer County,Baylor County,Knox County,King County,Dickens County,Crosby County,Lubbock County,Bowie County,Delta County,Denton County,Wise County,Jack County,Young County,Kent County,Yoakum County,Cass County,Morris County,Titus County,Franklin County,Hopkins County,Hunt County,Collin County,Throckmorton County,Haskell County,Stonewall County,Garza County,Lynn County,Terry County,Camp County,Wood County,Dallas County,Tarrant County,Parker County,Palo Pinto County,Shackelford County,Jones County,Fisher County,Scurry County,Borden County,Dawson County,Gaines County,Marion County,Upshur County,Van Zandt County,Kaufman County,Harrison County,Gregg County,Smith County,Ellis County,Johnson County,Hood County,Eastland County,Callahan County,Taylor County,Nolan County,Mitchell County,Howard County,Andrews County,Panola County,Rusk County,Henderson County,Navarro County,Somervell County,Lipscomb County,Ochiltree County,Hansford County,Sherman County,Dallam County,Hemphill County,Moore County,Roberts County,Gray County,Hutchinson County,Hartley County,Wheeler County,Carson County,Potter County,Oldham County,Donley County,Armstrong County,Collingsworth County,Randall County,Deaf Smith County
Latitude,28.975935,28.7986074,28.7986074,28.7986074,28.975935,28.975935,28.5533692,28.5533692,28.5533692,28.7986074,28.975935,28.308131,28.308131,28.308131,28.308131,28.5533692,28.308131,28.0628928,27.8176546,27.3271782,27.8176546,27.5724164,27.8176546,27.5724164,27.5724164,27.3271782,27.08194,27.08194,26.1009872,26.5914636,26.3462254,26.3462254,34.8360192,34.590781,31.9187934,31.9187934,32.001626,31.9187934,32.001626,31.9187934,32.001626,32.2468642,31.9187934,31.9187934,31.428317,31.9187934,32.001626,31.9187934,31.9187934,31.9187934,31.9187934,31.9187934,31.9187934,31.428317,31.428317,31.9187934,31.1830788,31.6735552,31.428317,31.428317,31.428317,31.6735552,31.428317,31.1830788,31.6735552,31.428317,31.428317,31.428317,31.428317,31.428317,31.1830788,31.1830788,31.428317,30.9378406,31.428317,30.9378406,30.9378406,31.1830788,30.6926024,31.1830788,31.1830788,30.9378406,31.1830788,30.6926024,30.9378406,34.454008,30.6926024,30.9378406,30.9378406,30.4473642,30.6926024,30.9378406,30.9378406,30.6926024,30.6926024,30.6926024,30.4473642,30.6926024,30.4473642,30.4473642,30.6926024,30.6926024,30.4473642,30.4473642,29.9568878,30.202126,30.4473642,30.202126,30.4473642,30.4473642,30.4473642,30.4473642,29.4664114,30.202126,30.202126,30.202126,30.202126,30.202126,30.202126,30.202126,34.2087698,29.9568878,29.9568878,29.7116496,29.7116496,29.9568878,29.9568878,29.9568878,29.7116496,29.7116496,29.7116496,29.7116496,29.7116496,29.4664114,29.4664114,29.7116496,29.7116496,29.2211732,29.2211732,29.4664114,29.4664114,29.4664114,29.4664114,29.2211732,32.7373406,34.2087698,34.2087698,34.8360192,34.454008,34.590781,33.9635316,34.2087698,33.9635316,33.9635316,34.2087698,33.9635316,34.2087698,34.2087698,33.9635316,33.7182934,33.7182934,33.4730552,33.7182934,33.9635316,33.9635316,33.7182934,33.7182934,33.4730552,33.4730552,33.4730552,33.7182934,33.7182934,33.7182934,33.7182934,33.7182934,33.227817,33.4730552,33.4730552,32.9825788,33.227817,33.227817,33.227817,32.9825788,32.9825788,33.227817,33.227817,33.227817,33.227817,33.227817,33.227817,33.227817,33.227817,33.227817,32.9825788,32.9825788,33.227817,32.9825788,32.7373406,32.7373406,32.4921024,32.7373406,32.4921024,32.7373406,32.9825788,32.7373406,32.7373406,32.9825788,32.7373406,32.7373406,32.7373406,32.7373406,32.7373406,32.4921024,32.4921024,32.4921024,32.4921024,36.0622102,32.4921024,32.4921024,32.4921024,32.4921024,32.4921024,32.2468642,32.2468642,32.2468642,32.4921024,32.2468642,32.2468642,32.2468642,32.2468642,32.2468642,36.3074484,36.3074484,36.3074484,36.3074484,36.0622102,35.816972,36.0622102,35.5717338,35.5717338,35.5717338,35.816972,35.5717338,35.3264956,35.0812574,35.3264956,35.0812574,35.0812574,34.8360192,34.8360192,34.8360192
Longitude,-100.2728168,-99.490339,-98.9998626,-98.264148,-95.613291,-96.1037674,-96.3022424,-97.037957,-97.2831952,-97.5284334,-97.8204348,-97.7736716,-98.264148,-98.7546244,-98.9998626,-99.7355772,-97.037957,-97.037957,-97.2831952,-98.0189098,-98.264148,-99.2451008,-97.037957,-98.0189098,-98.9998626,-97.7736716,-98.0189098,-98.9998626,-97.2831952,-97.7736716,-98.7546244,-98.0189098,-103.045685,-102.0647322,-94.1418618,-94.8775764,-95.4433008,-96.5942438,-97.4052064,-97.8204348,-98.140921,-98.3861592,-98.5561494,-99.0466258,-99.291864,-99.7823404,-100.3480648,-100.7632932,-101.4990078,-101.744246,-101.9894842,-102.2347224,-102.970437,-104.196628,-105.1775808,-105.6680572,-93.8966236,-94.6323382,-95.1228146,-96.5942438,-97.3299584,-97.8204348,-98.3109112,-100.2728168,-102.7251988,-104.9323426,-94.1418618,-94.6323382,-96.1037674,-99.5371022,-100.0275786,-101.0085314,-101.2537696,-102.2347224,-102.4799606,-103.4609134,-93.8966236,-95.1228146,-96.5942438,-97.0847202,-97.8204348,-98.3109112,-98.5561494,-101.9894842,-94.3871,-94.462348,-95.613291,-95.8585292,-97.0847202,-97.8204348,-98.8013876,-99.0466258,-99.5371022,-100.2728168,-101.0085314,-104.196628,-94.8775764,-96.1037674,-96.3490056,-98.5561494,-99.7823404,-100.518055,-103.2156752,-94.1418618,-94.8775764,-95.1228146,-96.5942438,-97.0847202,-97.3299584,-98.065673,-99.291864,-102.7251988,-103.9513898,-93.8966236,-96.1037674,-96.3490056,-98.065673,-98.5561494,-99.0466258,-100.0275786,-97.6504446,-95.1228146,-96.3490056,-96.839482,-97.0847202,-97.5751966,-98.3109112,-98.8013876,-100.0275786,-100.7632932,-94.3871,-95.8585292,-97.3299584,-97.8204348,-98.3109112,-99.291864,-100.518055,-95.1228146,-96.3490056,-97.0847202,-98.065673,-98.8013876,-99.5371022,-96.5942438,-98.6313974,-99.6123502,-100.1028266,-100.593303,-101.3290176,-101.5742558,-98.3861592,-99.1218738,-100.3480648,-100.593303,-101.3290176,-101.5742558,-102.3099704,-102.8004468,-95.1980626,-95.9337772,-96.6694918,-97.8956828,-98.140921,-99.8575884,-102.0647322,-102.5552086,-94.9528244,-97.4052064,-98.3861592,-99.1218738,-99.6123502,-100.1028266,-100.593303,-101.0837794,-102.0647322,-94.462348,-95.688539,-97.1599682,-97.8956828,-98.140921,-98.6313974,-100.593303,-102.8004468,-94.2171098,-94.7075862,-94.9528244,-95.1980626,-95.688539,-96.1790154,-96.4242536,-99.1218738,-99.8575884,-100.1028266,-101.3290176,-101.819494,-102.0647322,-94.9528244,-95.4433008,-96.91473,-97.1599682,-97.6504446,-98.3861592,-99.367112,-99.6123502,-100.593303,-100.8385412,-101.5742558,-101.819494,-102.8004468,-94.2171098,-94.9528244,-95.9337772,-96.4242536,-94.2171098,-94.9528244,-95.4433008,-100.1028266,-97.4052064,-97.8956828,-98.6313974,-99.367112,-99.8575884,-100.3480648,-101.0837794,-101.5742558,-102.3099704,-94.2171098,-94.7075862,-95.688539,-96.4242536,-97.6504446,-100.3480648,-100.8385412,-101.5742558,-101.819494,-102.3099704,-100.3480648,-101.819494,-100.593303,-101.0837794,-101.3290176,-102.3099704,-100.3480648,-101.3290176,-102.0647322,-102.5552086,-100.593303,-101.5742558,-100.1028266,-102.0647322,-102.5552086
