,Coordinates
144,"(33.47305520000002, -99.85758839999997)"
145,"(33.47305520000002, -99.61235019999997)"
146,"(33.47305520000002, -99.36711199999996)"
147,"(33.47305520000002, -99.12187379999996)"
148,"(33.47305520000002, -98.87663559999996)"
149,"(33.47305520000002, -98.63139739999995)"
150,"(33.47305520000002, -98.38615919999995)"
151,"(33.47305520000002, -98.14092099999995)"
152,"(33.47305520000002, -97.89568279999995)"
153,"(33.47305520000002, -97.65044459999994)"
154,"(33.47305520000002, -97.40520639999994)"
155,"(33.47305520000002, -97.15996819999994)"
156,"(33.47305520000002, -96.91472999999993)"
157,"(33.47305520000002, -96.66949179999993)"
158,"(33.47305520000002, -96.42425359999993)"
159,"(33.47305520000002, -96.17901539999993)"
160,"(33.47305520000002, -95.93377719999992)"
161,"(33.47305520000002, -95.68853899999992)"
162,"(33.47305520000002, -95.44330079999992)"
163,"(33.47305520000002, -95.19806259999991)"
164,"(33.47305520000002, -94.95282439999991)"
165,"(33.47305520000002, -101.32901759999999)"
166,"(33.47305520000002, -101.08377939999998)"
167,"(33.47305520000002, -100.83854119999998)"
168,"(33.47305520000002, -100.59330299999998)"
169,"(33.47305520000002, -100.34806479999997)"
170,"(33.47305520000002, -100.10282659999997)"
171,"(33.227817000000016, -99.85758839999997)"
172,"(33.227817000000016, -99.61235019999997)"
173,"(33.227817000000016, -99.36711199999996)"
174,"(33.227817000000016, -99.12187379999996)"
175,"(33.227817000000016, -98.87663559999996)"
176,"(33.227817000000016, -98.63139739999995)"
177,"(33.227817000000016, -98.38615919999995)"
178,"(33.227817000000016, -98.14092099999995)"
179,"(33.227817000000016, -97.89568279999995)"
180,"(33.227817000000016, -97.65044459999994)"
181,"(33.227817000000016, -97.40520639999994)"
182,"(33.227817000000016, -97.15996819999994)"
183,"(33.227817000000016, -96.91472999999993)"
184,"(33.227817000000016, -96.66949179999993)"
185,"(33.227817000000016, -96.42425359999993)"
186,"(33.227817000000016, -96.17901539999993)"
187,"(33.227817000000016, -95.93377719999992)"
188,"(33.227817000000016, -95.68853899999992)"
189,"(33.227817000000016, -95.44330079999992)"
190,"(33.227817000000016, -95.19806259999991)"
191,"(33.227817000000016, -94.95282439999991)"
