,Coordinates
617,"(30.447364199999996, -96.83948199999989)"
618,"(30.447364199999996, -96.59424379999989)"
619,"(30.447364199999996, -96.34900559999988)"
620,"(30.447364199999996, -96.10376739999988)"
621,"(30.447364199999996, -95.85852919999988)"
622,"(30.447364199999996, -95.61329099999988)"
623,"(30.447364199999996, -95.36805279999987)"
624,"(30.447364199999996, -105.17758079999999)"
625,"(30.447364199999996, -104.93234259999998)"
626,"(30.447364199999996, -104.68710439999998)"
627,"(30.447364199999996, -104.44186619999998)"
628,"(30.447364199999996, -104.19662799999998)"
629,"(30.447364199999996, -103.95138979999997)"
630,"(30.447364199999996, -103.70615159999997)"
631,"(30.447364199999996, -103.46091339999997)"
632,"(30.447364199999996, -103.21567519999996)"
633,"(30.447364199999996, -102.97043699999996)"
634,"(30.447364199999996, -102.72519879999996)"
635,"(30.447364199999996, -102.47996059999996)"
636,"(30.447364199999996, -102.23472239999995)"
637,"(30.447364199999996, -101.98948419999995)"
638,"(30.447364199999996, -101.74424599999995)"
639,"(30.447364199999996, -101.49900779999994)"
640,"(30.447364199999996, -101.25376959999994)"
641,"(30.447364199999996, -101.00853139999994)"
642,"(30.447364199999996, -100.76329319999994)"
643,"(30.447364199999996, -100.51805499999993)"
644,"(30.447364199999996, -100.27281679999993)"
645,"(30.447364199999996, -100.02757859999993)"
646,"(30.202125999999996, -99.78234039999992)"
647,"(30.202125999999996, -99.53710219999992)"
648,"(30.202125999999996, -99.29186399999992)"
649,"(30.202125999999996, -99.04662579999992)"
650,"(30.202125999999996, -98.80138759999991)"
651,"(30.202125999999996, -98.55614939999991)"
652,"(30.202125999999996, -98.31091119999991)"
653,"(30.202125999999996, -98.0656729999999)"
654,"(30.202125999999996, -97.8204347999999)"
655,"(30.202125999999996, -97.5751965999999)"
656,"(30.202125999999996, -97.3299583999999)"
657,"(30.202125999999996, -97.0847201999999)"
658,"(30.202125999999996, -96.83948199999989)"
659,"(30.202125999999996, -96.59424379999989)"
660,"(30.202125999999996, -96.34900559999988)"
661,"(30.202125999999996, -96.10376739999988)"
662,"(30.202125999999996, -95.85852919999988)"
663,"(30.202125999999996, -95.61329099999988)"
664,"(30.202125999999996, -95.36805279999987)"
665,"(30.202125999999996, -95.12281459999987)"
666,"(30.202125999999996, -104.44186619999998)"
667,"(30.202125999999996, -104.19662799999998)"
668,"(30.202125999999996, -103.95138979999997)"
669,"(30.202125999999996, -103.70615159999997)"
670,"(30.202125999999996, -103.46091339999997)"
671,"(30.202125999999996, -103.21567519999996)"
672,"(30.202125999999996, -102.97043699999996)"
673,"(30.202125999999996, -102.72519879999996)"
674,"(30.202125999999996, -102.47996059999996)"
675,"(30.202125999999996, -102.23472239999995)"
676,"(30.202125999999996, -101.98948419999995)"
677,"(30.202125999999996, -101.74424599999995)"
678,"(30.202125999999996, -101.49900779999994)"
679,"(30.202125999999996, -101.25376959999994)"
680,"(30.202125999999996, -101.00853139999994)"
681,"(30.202125999999996, -100.76329319999994)"
682,"(30.202125999999996, -100.51805499999993)"
683,"(30.202125999999996, -100.27281679999993)"
684,"(30.202125999999996, -100.02757859999993)"
685,"(29.956887799999997, -99.78234039999992)"
686,"(29.956887799999997, -99.53710219999992)"
687,"(29.956887799999997, -99.29186399999992)"
688,"(29.956887799999997, -99.04662579999992)"
689,"(29.956887799999997, -98.80138759999991)"
690,"(29.956887799999997, -98.55614939999991)"
691,"(29.956887799999997, -98.31091119999991)"
692,"(29.956887799999997, -98.0656729999999)"
693,"(29.956887799999997, -97.8204347999999)"
694,"(29.956887799999997, -97.5751965999999)"
695,"(29.956887799999997, -97.3299583999999)"
696,"(29.956887799999997, -97.0847201999999)"
697,"(29.956887799999997, -96.83948199999989)"
698,"(29.956887799999997, -96.59424379999989)"
699,"(29.956887799999997, -96.34900559999988)"
700,"(29.956887799999997, -96.10376739999988)"
701,"(29.956887799999997, -95.85852919999988)"
702,"(29.956887799999997, -95.61329099999988)"
703,"(29.956887799999997, -95.36805279999987)"
704,"(29.956887799999997, -95.12281459999987)"
705,"(29.956887799999997, -104.19662799999998)"
706,"(29.956887799999997, -103.95138979999997)"
707,"(29.956887799999997, -103.70615159999997)"
708,"(29.956887799999997, -103.46091339999997)"
709,"(29.956887799999997, -103.21567519999996)"
710,"(29.956887799999997, -102.97043699999996)"
711,"(29.956887799999997, -102.72519879999996)"
712,"(29.956887799999997, -102.47996059999996)"
713,"(29.956887799999997, -102.23472239999995)"
714,"(29.956887799999997, -101.98948419999995)"
715,"(29.956887799999997, -101.74424599999995)"
716,"(29.956887799999997, -101.49900779999994)"
717,"(29.956887799999997, -101.25376959999994)"
718,"(29.956887799999997, -101.00853139999994)"
719,"(29.956887799999997, -100.76329319999994)"
720,"(29.956887799999997, -100.51805499999993)"
721,"(29.956887799999997, -100.27281679999993)"
722,"(29.956887799999997, -100.02757859999993)"
723,"(29.711649599999998, -99.78234039999992)"
724,"(29.711649599999998, -99.53710219999992)"
725,"(29.711649599999998, -99.29186399999992)"
726,"(29.711649599999998, -99.04662579999992)"
727,"(29.711649599999998, -98.80138759999991)"
728,"(29.711649599999998, -98.55614939999991)"
729,"(29.711649599999998, -98.31091119999991)"
730,"(29.711649599999998, -98.0656729999999)"
731,"(29.711649599999998, -97.8204347999999)"
732,"(29.711649599999998, -97.5751965999999)"
733,"(29.711649599999998, -97.3299583999999)"
734,"(29.711649599999998, -97.0847201999999)"
735,"(29.711649599999998, -96.83948199999989)"
736,"(29.711649599999998, -96.59424379999989)"
737,"(29.711649599999998, -96.34900559999988)"
738,"(29.711649599999998, -96.10376739999988)"
739,"(29.711649599999998, -95.85852919999988)"
740,"(29.711649599999998, -95.61329099999988)"
741,"(29.711649599999998, -95.36805279999987)"
742,"(29.711649599999998, -95.12281459999987)"
743,"(29.711649599999998, -94.87757639999987)"
744,"(29.711649599999998, -94.63233819999986)"
745,"(29.711649599999998, -94.38709999999986)"
746,"(29.711649599999998, -104.19662799999998)"
747,"(29.711649599999998, -103.95138979999997)"
748,"(29.711649599999998, -103.70615159999997)"
749,"(29.711649599999998, -103.46091339999997)"
750,"(29.711649599999998, -103.21567519999996)"
751,"(29.711649599999998, -102.97043699999996)"
752,"(29.711649599999998, -102.72519879999996)"
753,"(29.711649599999998, -102.47996059999996)"
754,"(29.711649599999998, -102.23472239999995)"
755,"(29.711649599999998, -101.98948419999995)"
756,"(29.711649599999998, -101.74424599999995)"
757,"(29.711649599999998, -101.49900779999994)"
758,"(29.711649599999998, -101.25376959999994)"
759,"(29.711649599999998, -101.00853139999994)"
760,"(29.711649599999998, -100.76329319999994)"
761,"(29.711649599999998, -100.51805499999993)"
762,"(29.711649599999998, -100.27281679999993)"
763,"(29.711649599999998, -100.02757859999993)"
764,"(29.4664114, -99.78234039999992)"
765,"(29.4664114, -99.53710219999992)"
766,"(29.4664114, -99.29186399999992)"
767,"(29.4664114, -99.04662579999992)"
768,"(29.4664114, -98.80138759999991)"
769,"(29.4664114, -98.55614939999991)"
770,"(29.4664114, -98.31091119999991)"
771,"(29.4664114, -98.0656729999999)"
772,"(29.4664114, -97.8204347999999)"
773,"(29.4664114, -97.5751965999999)"
774,"(29.4664114, -97.3299583999999)"
775,"(29.4664114, -97.0847201999999)"
776,"(29.4664114, -96.83948199999989)"
777,"(29.4664114, -96.59424379999989)"
778,"(29.4664114, -96.34900559999988)"
779,"(29.4664114, -96.10376739999988)"
780,"(29.4664114, -95.85852919999988)"
781,"(29.4664114, -95.61329099999988)"
782,"(29.4664114, -95.36805279999987)"
783,"(29.4664114, -95.12281459999987)"
784,"(29.4664114, -94.87757639999987)"
785,"(29.4664114, -94.63233819999986)"
786,"(29.4664114, -94.38709999999986)"
787,"(29.4664114, -94.14186179999986)"
788,"(29.4664114, -104.19662799999998)"
789,"(29.4664114, -103.95138979999997)"
790,"(29.4664114, -103.70615159999997)"
791,"(29.4664114, -103.46091339999997)"
792,"(29.4664114, -103.21567519999996)"
793,"(29.4664114, -102.97043699999996)"
794,"(29.4664114, -102.72519879999996)"
795,"(29.4664114, -102.47996059999996)"
796,"(29.4664114, -102.23472239999995)"
797,"(29.4664114, -101.98948419999995)"
798,"(29.4664114, -101.49900779999994)"
799,"(29.4664114, -101.25376959999994)"
800,"(29.4664114, -101.00853139999994)"
801,"(29.4664114, -100.76329319999994)"
802,"(29.4664114, -100.51805499999993)"
803,"(29.4664114, -100.27281679999993)"
804,"(29.4664114, -100.02757859999993)"
805,"(29.2211732, -99.78234039999992)"
806,"(29.2211732, -99.53710219999992)"
807,"(29.2211732, -99.29186399999992)"
808,"(29.2211732, -99.04662579999992)"
809,"(29.2211732, -98.80138759999991)"
810,"(29.2211732, -98.55614939999991)"
811,"(29.2211732, -98.31091119999991)"
812,"(29.2211732, -98.0656729999999)"
813,"(29.2211732, -97.8204347999999)"
814,"(29.2211732, -97.5751965999999)"
815,"(29.2211732, -97.3299583999999)"
816,"(29.2211732, -97.0847201999999)"
817,"(29.2211732, -96.83948199999989)"
818,"(29.2211732, -96.59424379999989)"
819,"(29.2211732, -96.34900559999988)"
820,"(29.2211732, -96.10376739999988)"
821,"(29.2211732, -95.85852919999988)"
822,"(29.2211732, -95.61329099999988)"
823,"(29.2211732, -95.36805279999987)"
824,"(29.2211732, -95.12281459999987)"
825,"(29.2211732, -94.87757639999987)"
826,"(29.2211732, -94.63233819999986)"
827,"(29.2211732, -94.38709999999986)"
828,"(29.2211732, -94.14186179999986)"
829,"(29.2211732, -104.19662799999998)"
830,"(29.2211732, -103.95138979999997)"
831,"(29.2211732, -103.70615159999997)"
832,"(29.2211732, -103.46091339999997)"
833,"(29.2211732, -103.21567519999996)"
834,"(29.2211732, -102.97043699999996)"
835,"(29.2211732, -102.72519879999996)"
836,"(29.2211732, -102.47996059999996)"
837,"(29.2211732, -102.23472239999995)"
838,"(29.2211732, -101.98948419999995)"
839,"(29.2211732, -100.76329319999994)"
840,"(29.2211732, -100.51805499999993)"
841,"(29.2211732, -100.27281679999993)"
842,"(29.2211732, -100.02757859999993)"
843,"(28.975935, -99.78234039999992)"
844,"(28.975935, -99.53710219999992)"
845,"(28.975935, -99.29186399999992)"
846,"(28.975935, -99.04662579999992)"
847,"(28.975935, -98.80138759999991)"
848,"(28.975935, -98.55614939999991)"
849,"(28.975935, -98.31091119999991)"
850,"(28.975935, -98.0656729999999)"
851,"(28.975935, -97.8204347999999)"
852,"(28.975935, -97.5751965999999)"
853,"(28.975935, -97.3299583999999)"
854,"(28.975935, -97.0847201999999)"
855,"(28.975935, -96.83948199999989)"
856,"(28.975935, -96.59424379999989)"
857,"(28.975935, -96.34900559999988)"
858,"(28.975935, -96.10376739999988)"
859,"(28.975935, -95.85852919999988)"
860,"(28.975935, -95.61329099999988)"
861,"(28.975935, -95.36805279999987)"
862,"(28.975935, -95.12281459999987)"
863,"(28.975935, -94.87757639999987)"
864,"(28.975935, -94.63233819999986)"
865,"(28.975935, -94.38709999999986)"
866,"(28.975935, -94.14186179999986)"
867,"(28.975935, -93.89662359999986)"
868,"(28.975935, -104.44186619999998)"
869,"(28.975935, -104.19662799999998)"
870,"(28.975935, -103.95138979999997)"
871,"(28.975935, -103.70615159999997)"
872,"(28.975935, -102.72519879999996)"
873,"(28.975935, -102.47996059999996)"
874,"(28.975935, -102.23472239999995)"
875,"(28.975935, -100.76329319999994)"
876,"(28.975935, -100.51805499999993)"
877,"(28.975935, -100.27281679999993)"
878,"(28.975935, -100.02757859999993)"
879,"(28.79860739999999, -99.9808154)"
880,"(28.79860739999999, -99.7355772)"
881,"(28.79860739999999, -99.49033899999999)"
882,"(28.79860739999999, -99.24510079999999)"
883,"(28.79860739999999, -98.99986259999999)"
884,"(28.79860739999999, -98.75462439999998)"
885,"(28.79860739999999, -98.50938619999998)"
886,"(28.79860739999999, -98.26414799999998)"
887,"(28.79860739999999, -98.01890979999997)"
888,"(28.79860739999999, -97.77367159999997)"
889,"(28.79860739999999, -97.52843339999997)"
890,"(28.79860739999999, -97.28319519999997)"
891,"(28.79860739999999, -97.03795699999996)"
892,"(28.79860739999999, -96.79271879999996)"
893,"(28.79860739999999, -96.54748059999996)"
894,"(28.79860739999999, -96.30224239999995)"
895,"(28.79860739999999, -96.05700419999995)"
896,"(28.79860739999999, -95.81176599999995)"
897,"(28.79860739999999, -95.56652779999995)"
898,"(28.79860739999999, -95.32128959999994)"
899,"(28.79860739999999, -100.4712918)"
900,"(28.79860739999999, -100.2260536)"
901,"(28.55336919999999, -99.9808154)"
902,"(28.55336919999999, -99.7355772)"
903,"(28.55336919999999, -99.49033899999999)"
904,"(28.55336919999999, -99.24510079999999)"
905,"(28.55336919999999, -98.99986259999999)"
906,"(28.55336919999999, -98.75462439999998)"
907,"(28.55336919999999, -98.50938619999998)"
908,"(28.55336919999999, -98.26414799999998)"
909,"(28.55336919999999, -98.01890979999997)"
910,"(28.55336919999999, -97.77367159999997)"
911,"(28.55336919999999, -97.52843339999997)"
912,"(28.55336919999999, -97.28319519999997)"
913,"(28.55336919999999, -97.03795699999996)"
914,"(28.55336919999999, -96.79271879999996)"
915,"(28.55336919999999, -96.54748059999996)"
916,"(28.55336919999999, -96.30224239999995)"
917,"(28.55336919999999, -96.05700419999995)"
918,"(28.55336919999999, -95.81176599999995)"
919,"(28.55336919999999, -95.56652779999995)"
920,"(28.55336919999999, -95.32128959999994)"
921,"(28.55336919999999, -100.4712918)"
922,"(28.55336919999999, -100.2260536)"
923,"(28.308130999999992, -99.7355772)"
924,"(28.308130999999992, -99.9808154)"
925,"(28.308130999999992, -99.49033899999999)"
926,"(28.308130999999992, -99.24510079999999)"
927,"(28.308130999999992, -98.99986259999999)"
928,"(28.308130999999992, -98.75462439999998)"
929,"(28.308130999999992, -98.50938619999998)"
930,"(28.308130999999992, -98.26414799999998)"
931,"(28.308130999999992, -98.01890979999997)"
932,"(28.308130999999992, -97.77367159999997)"
933,"(28.308130999999992, -97.52843339999997)"
934,"(28.308130999999992, -97.28319519999997)"
935,"(28.308130999999992, -97.03795699999996)"
936,"(28.308130999999992, -96.79271879999996)"
937,"(28.308130999999992, -96.54748059999996)"
938,"(28.308130999999992, -96.30224239999995)"
939,"(28.308130999999992, -96.05700419999995)"
940,"(28.308130999999992, -95.81176599999995)"
941,"(28.308130999999992, -95.56652779999995)"
942,"(28.308130999999992, -95.32128959999994)"
943,"(28.308130999999992, -100.2260536)"
944,"(28.062892799999993, -99.9808154)"
945,"(28.062892799999993, -99.7355772)"
946,"(28.062892799999993, -99.49033899999999)"
947,"(28.062892799999993, -99.24510079999999)"
948,"(28.062892799999993, -98.99986259999999)"
949,"(28.062892799999993, -98.75462439999998)"
950,"(28.062892799999993, -98.50938619999998)"
951,"(28.062892799999993, -98.26414799999998)"
952,"(28.062892799999993, -98.01890979999997)"
953,"(28.062892799999993, -97.77367159999997)"
954,"(28.062892799999993, -97.52843339999997)"
955,"(28.062892799999993, -97.28319519999997)"
956,"(28.062892799999993, -97.03795699999996)"
957,"(28.062892799999993, -96.79271879999996)"
958,"(28.062892799999993, -96.54748059999996)"
959,"(28.062892799999993, -96.30224239999995)"
960,"(28.062892799999993, -96.05700419999995)"
961,"(28.062892799999993, -95.81176599999995)"
962,"(28.062892799999993, -95.56652779999995)"
963,"(28.062892799999993, -95.32128959999994)"
964,"(27.817654599999994, -99.7355772)"
965,"(27.817654599999994, -99.49033899999999)"
966,"(27.817654599999994, -99.24510079999999)"
967,"(27.817654599999994, -98.99986259999999)"
968,"(27.817654599999994, -98.75462439999998)"
969,"(27.817654599999994, -98.50938619999998)"
970,"(27.817654599999994, -98.26414799999998)"
971,"(27.817654599999994, -98.01890979999997)"
972,"(27.817654599999994, -97.77367159999997)"
973,"(27.817654599999994, -97.52843339999997)"
974,"(27.817654599999994, -97.28319519999997)"
975,"(27.817654599999994, -97.03795699999996)"
976,"(27.817654599999994, -96.79271879999996)"
977,"(27.817654599999994, -96.54748059999996)"
978,"(27.817654599999994, -96.30224239999995)"
979,"(27.817654599999994, -96.05700419999995)"
980,"(27.572416399999994, -99.49033899999999)"
981,"(27.572416399999994, -99.24510079999999)"
982,"(27.572416399999994, -98.99986259999999)"
983,"(27.572416399999994, -98.75462439999998)"
984,"(27.572416399999994, -98.50938619999998)"
985,"(27.572416399999994, -98.26414799999998)"
986,"(27.572416399999994, -98.01890979999997)"
987,"(27.572416399999994, -97.77367159999997)"
988,"(27.572416399999994, -97.52843339999997)"
989,"(27.572416399999994, -97.03795699999996)"
990,"(27.572416399999994, -97.28319519999997)"
991,"(27.572416399999994, -96.79271879999996)"
992,"(27.572416399999994, -96.54748059999996)"
993,"(27.572416399999994, -96.30224239999995)"
994,"(27.327178199999995, -99.49033899999999)"
995,"(27.327178199999995, -99.24510079999999)"
996,"(27.327178199999995, -98.99986259999999)"
997,"(27.327178199999995, -98.75462439999998)"
998,"(27.327178199999995, -98.50938619999998)"
999,"(27.327178199999995, -98.26414799999998)"
1000,"(27.327178199999995, -98.01890979999997)"
1001,"(27.327178199999995, -97.77367159999997)"
1002,"(27.327178199999995, -97.52843339999997)"
1003,"(27.327178199999995, -97.28319519999997)"
1004,"(27.327178199999995, -97.03795699999996)"
1005,"(27.327178199999995, -96.79271879999996)"
1006,"(27.327178199999995, -96.54748059999996)"
1007,"(27.081939999999996, -99.7355772)"
1008,"(27.081939999999996, -99.49033899999999)"
1009,"(27.081939999999996, -99.24510079999999)"
1010,"(27.081939999999996, -98.99986259999999)"
1011,"(27.081939999999996, -98.75462439999998)"
1012,"(27.081939999999996, -98.50938619999998)"
1013,"(27.081939999999996, -98.26414799999998)"
1014,"(27.081939999999996, -98.01890979999997)"
1015,"(27.081939999999996, -97.77367159999997)"
1016,"(27.081939999999996, -97.52843339999997)"
1017,"(27.081939999999996, -97.28319519999997)"
1018,"(27.081939999999996, -97.03795699999996)"
1019,"(27.081939999999996, -96.79271879999996)"
1020,"(26.836701799999997, -99.7355772)"
1021,"(26.836701799999997, -99.49033899999999)"
1022,"(26.836701799999997, -99.24510079999999)"
1023,"(26.836701799999997, -98.99986259999999)"
1024,"(26.836701799999997, -98.75462439999998)"
1025,"(26.836701799999997, -98.50938619999998)"
1026,"(26.836701799999997, -98.26414799999998)"
1027,"(26.836701799999997, -98.01890979999997)"
1028,"(26.836701799999997, -97.77367159999997)"
1029,"(26.836701799999997, -97.52843339999997)"
1030,"(26.836701799999997, -97.28319519999997)"
1031,"(26.836701799999997, -96.79271879999996)"
1032,"(26.836701799999997, -97.03795699999996)"
1033,"(26.591463599999997, -98.99986259999999)"
1034,"(26.591463599999997, -98.75462439999998)"
1035,"(26.591463599999997, -98.50938619999998)"
1036,"(26.591463599999997, -98.26414799999998)"
1037,"(26.591463599999997, -98.01890979999997)"
1038,"(26.591463599999997, -97.77367159999997)"
1039,"(26.591463599999997, -97.52843339999997)"
1040,"(26.591463599999997, -97.28319519999997)"
1041,"(26.591463599999997, -97.03795699999996)"
1042,"(26.591463599999997, -96.79271879999996)"
1043,"(26.591463599999997, -96.54748059999996)"
1044,"(26.346225399999998, -98.75462439999998)"
1045,"(26.346225399999998, -98.50938619999998)"
1046,"(26.346225399999998, -98.26414799999998)"
1047,"(26.346225399999998, -98.01890979999997)"
1048,"(26.346225399999998, -97.77367159999997)"
1049,"(26.346225399999998, -97.52843339999997)"
1050,"(26.346225399999998, -97.28319519999997)"
1051,"(26.346225399999998, -97.03795699999996)"
1052,"(26.346225399999998, -96.79271879999996)"
1053,"(26.346225399999998, -96.54748059999996)"
1054,"(26.1009872, -98.26414799999998)"
1055,"(26.1009872, -98.50938619999998)"
1056,"(26.1009872, -98.01890979999997)"
1057,"(26.1009872, -97.77367159999997)"
1058,"(26.1009872, -97.52843339999997)"
1059,"(26.1009872, -97.28319519999997)"
1060,"(26.1009872, -97.03795699999996)"
1061,"(26.1009872, -96.79271879999996)"
1062,"(26.1009872, -96.54748059999996)"
1063,"(25.855749, -97.28319519999997)"
1064,"(25.855749, -97.03795699999996)"
1065,"(25.855749, -96.79271879999996)"
1066,"(25.855749, -96.54748059999996)"
1067,"(32.898902, -96.409765)"
1068,"(32.893604, -95.784382)"
